Date,Open,High,Low,Close,Volume,Adj Close,CloseNext,DailyReturn
2016-03-29,104.889999,107.790001,104.879997,107.68,31190100,107.028364,109.559998,1.879998
2016-03-28,106,106.190002,105.059998,105.190002,19411400,104.553435,107.68,2.489998
2016-03-24,105.470001,106.25,104.889999,105.669998,26133000,105.030526,105.190002,-0.479996
2016-03-23,106.480003,107.07,105.900002,106.129997,25703500,105.487741,105.669998,-0.459999
2016-03-22,105.25,107.290001,105.209999,106.720001,32444400,106.074174,106.129997,-0.590004
2016-03-21,105.93,107.650002,105.139999,105.910004,35502700,105.269079,106.720001,0.809997
2016-03-18,106.339996,106.5,105.190002,105.919998,44205200,105.279013,105.910004,-0.009994
2016-03-17,105.519997,106.470001,104.959999,105.800003,34420700,105.159744,105.919998,0.119995
2016-03-16,104.610001,106.309998,104.589996,105.970001,38303500,105.328713,105.800003,-0.169998
2016-03-15,103.959999,105.18,103.849998,104.580002,40067700,103.947125,105.970001,1.389999
2016-03-14,101.910004,102.910004,101.779999,102.519997,25076100,101.899587,104.580002,2.060005
2016-03-11,102.239998,102.279999,101.5,102.260002,27408200,101.641166,102.519997,0.259995
2016-03-10,101.410004,102.239998,100.150002,101.169998,33513600,100.557758,102.260002,1.090004
2016-03-09,101.309998,101.580002,100.269997,101.120003,27201700,100.508065,101.169998,0.049995
2016-03-08,100.779999,101.760002,100.400002,101.029999,31561900,100.418606,101.120003,0.090004
2016-03-07,102.389999,102.830002,100.959999,101.870003,35828900,101.253526,101.029999,-0.840004
2016-03-04,102.370003,103.75,101.370003,103.010002,46055100,102.386627,101.870003,-1.139999
2016-03-03,100.580002,101.709999,100.449997,101.5,36955700,100.885763,103.010002,1.510002
2016-03-02,100.510002,100.889999,99.639999,100.75,33169600,100.140301,101.5,0.75
2016-03-01,97.650002,100.769997,97.419998,100.529999,50407100,99.921631,100.75,0.220001
2016-02-29,96.860001,98.230003,96.650002,96.690002,35216300,96.104873,100.529999,3.839997
2016-02-26,97.199997,98.019997,96.580002,96.910004,28991100,96.323543,96.690002,-0.220002
2016-02-25,96.050003,96.760002,95.25,96.760002,27582700,96.174449,96.910004,0.150002
2016-02-24,93.980003,96.379997,93.32,96.099998,36255700,95.51844,96.760002,0.660004
2016-02-23,96.400002,96.5,94.550003,94.690002,31942600,94.116976,96.099998,1.409996
2016-02-22,96.309998,96.900002,95.919998,96.879997,34280800,96.293718,94.690002,-2.189995
2016-02-19,96,96.760002,95.800003,96.040001,35374200,95.458805,96.879997,0.839996
2016-02-18,98.839996,98.889999,96.089996,96.260002,39021000,95.677475,96.040001,-0.220001
